                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9153,                 5.0768,                 3.0887,                 3.5435,                 11.457,                 2.7841,                      0,                      0,                      0,                      0,                 4.9155,                 4.8838,                 3.5733,                 4.2378,                 11.487,                 3.3798,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 3.7661,                 4.6719,                 2.9415,                 3.3821,                 9.7107,                 2.5978,                  6e-05,                 0.0098,                  3e-05,                  1e-05,                 3.3331,                 4.1521,                 2.9202,                  3.118,                 9.5547,                 2.8697,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 2.9921,                  3.792,                  2.368,                 2.6932,                 9.0322,                 2.1002,                0.34665,                0.01961,                0.00827,                0.00437,                 2.5505,                 2.9772,                 2.2934,                  2.827,                 7.9924,                 2.1524,             0.00011206,             0.00011206,             0.00011206
                      4,                 2.3054,                  2.887,                 1.8848,                 2.3485,                 7.1504,                 1.8088,                0.51935,                0.22549,                0.18987,                0.13998,                 1.9646,                 3.1538,                 1.5872,                 1.8829,                 6.1737,                 1.5447,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.7544,                  2.333,                 1.4786,                 1.8017,                 6.2246,                 1.4439,                0.54598,                0.43097,                0.19813,                0.15158,                 1.2079,                 6.0081,                 1.0851,                 1.2103,                  7.631,                  1.133,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.6036,                 1.9302,                 1.3208,                 1.5746,                 4.3518,                 1.3302,                0.54263,                    0.5,                0.34573,                0.24407,                 1.3126,                 2.1649,                 1.0982,                 1.3691,                  4.747,                  1.095,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.4012,                 1.5222,                 1.2321,                 1.3696,                 3.6922,                 1.2205,                0.66786,                0.52941,                0.45206,                0.30048,                 1.4195,                 1.8238,                 1.2254,                 1.3597,                 5.4278,                 1.2128,             0.00026882,             0.00026882,             0.00026882
                      8,                    1.3,                  1.413,                 1.1771,                 1.3066,                 3.2917,                 1.1849,                 0.7147,                0.48844,                0.56869,                0.37297,                 1.2904,                 1.5775,                 1.1931,                  1.217,                 4.2342,                 1.0222,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.1753,                 1.2186,                 1.1338,                 1.1536,                 2.7496,                 1.1104,                0.64024,                0.86519,                0.83362,                0.57036,                 1.2883,                 1.3786,                 1.1598,                 1.2796,                 2.6492,                 1.1277,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.1371,                 1.0596,                  1.054,                 1.1435,                 2.2685,                  1.027,                0.64543,                0.90492,                0.87286,                0.60924,                  1.297,                 1.8728,                 1.1961,                 1.2574,                 2.9545,                 1.1071,             0.00037749,             0.00037749,             0.00037749
